transaction_id,customer_id,transaction_date,category,item,quantity,unit_price,discount,total_spent,payment_method,location,region,customer_segment,rating,returned,year,month_year
TXN-106332,CUST-2428,2022-10-21,Automotive,Steering Wheel Cover,1.0,23.14,0.25,17.355,Cash,Online,East,VIP,1.6,0,2022,2022-10
TXN-105698,CUST-3147,2024-06-16,Automotive,Car Floor Mats,7.0,38.18,0.24,203.11759999999998,Credit Card,Online,South,ERROR,2.5,0,2024,2024-06
TXN-100808,CUST-4622,2023-04-20,Automotive,Dash Cam,2.0,96.92,0.29,137.6264,Cash,Mobile App,South,Premium,5.0,1,2023,2023-04
TXN-100488,CUST-3616,2022-06-05,Home & Kitchen,Coffee Maker,5.0,72.73,0.09,330.92150000000004,PayPal,Online,West,VIP,2.0,0,2022,2022-06
TXN-105353,CUST-1082,2023-06-12,Toys & Games,Jigsaw Puzzle,9.0,18.38,0.20600000000000002,131.34348,Cash,Online,North,Regular,1.5,1,2023,2023-06
TXN-108672,CUST-2934,2024-03-18,Sports & Outdoors,Cycling Helmet,4.0,61.24,0.0,244.96,Bank Transfer,Online,West,New,1.9,0,2024,2024-03
TXN-102648,CUST-3161,2022-05-05,Electronics,Mechanical Keyboard,4.0,109.11,0.15,370.974,Bank Transfer,Mobile App,North,New,3.0,1,2022,2022-05
TXN-107231,CUST-3883,2024-06-17,Sports & Outdoors,Tennis Racket,1.0,65.24,0.22799999999999998,50.36528,Credit Card,Online,West,New,3.5,0,2024,2024-06
TXN-102479,CUST-3363,2023-12-31,Automotive,Steering Wheel Cover,10.0,24.88,0.02,243.82399999999998,Credit Card,Mobile App,South,Regular,3.9,0,2023,2023-12
TXN-104058,CUST-1705,2023-12-18,Electronics,Smartphone,4.0,644.53,0.01,2552.3388,Bank Transfer,In-Store,South,Premium,2.5,0,2023,2023-12
TXN-106686,CUST-2002,2023-06-19,Books,Atomic Habits,5.0,21.05,0.25,78.9375,Credit Card,In-Store,Central,VIP,1.7,0,2023,2023-06
TXN-108904,CUST-2981,2022-08-12,Clothing,Winter Jacket,5.0,120.77,0.06,567.619,Bank Transfer,Mobile App,East,Premium,3.9,0,2022,2022-08
