transaction_id,customer_id,transaction_date,category,item,quantity,unit_price,discount,total_spent,payment_method,location,region,customer_segment,rating,returned
TXN-106332,CUST-2428,2022-10-21,Automotive,Steering Wheel Cover,1,23.14,0.25,17.36,Cash,Online,East,VIP,1.6,0.0
TXN-102903,CUST-1858,2022-01-23,Home & Kitchen,Coffee Maker,10,66.93,0.17,555.52,Cash,,East,Premium,3.6,0.0
TXN-105698,CUST-3147,2024-06-16,Automotive,Car Floor Mats,7,38.18,0.24,203.12,Credit Card,Online,South,N/A,2.5,0.0
TXN-100808,CUST-4622,2023-04-20,Automotive,Dash Cam,2,96.92,0.29,137.63,Cash,Mobile App,South,Premium,5.0,1.0
TXN-100488,CUST-3616,2022-06-05,Home & Kitchen,Coffee Maker,5,72.73,0.09,330.92,PayPal,Online,West,VIP,2.0,0.0
TXN-105353,CUST-1082,2023-06-12,Toys & Games,Jigsaw Puzzle,9,18.38,,147.22,Cash,Online,North,Regular,1.5,1.0
TXN-108672,CUST-2934,2024-03-18,Sports & Outdoors,Cycling Helmet,4,61.24,0.0,244.96,Bank Transfer,Online,West,New,1.9,0.0
TXN-109637,CUST-1501,2024-05-07,Books,Business Analytics,4,34.7,0.24,105.49,,Online,West,Premium,4.3,0.0
TXN-102648,CUST-3161,2022-05-05,Electronics,Mechanical Keyboard,4,109.11,0.15,370.97,Bank Transfer,Mobile App,,New,,1.0
TXN-107231,CUST-3883,2024-06-17,Sports & Outdoors,Tennis Racket,1,65.24,,49.58,Credit Card,Online,West,New,3.5,0.0
TXN-102479,CUST-3363,2023-12-31,Automotive,Steering Wheel Cover,10,24.88,0.02,243.82,Credit Card,Mobile App,South,Regular,3.9,0.0
TXN-104058,CUST-1705,2023-12-18,Electronics,Smartphone,4,644.53,0.01,2552.34,Bank Transfer,In-Store,South,Premium,2.5,0.0
TXN-106686,CUST-2002,2023-06-19,Books,Atomic Habits,5,21.05,0.25,78.94,Credit Card,In-Store,Central,VIP,1.7,0.0
TXN-108904,CUST-2981,2022-08-12,Clothing,Winter Jacket,5,120.77,0.06,567.62,Bank Transfer,Mobile App,East,Premium,3.9,0.0
TXN-108698,CUST-4239,2023-07-22,Clothing,Winter Jacket,8,134.06,0.25,804.36,Cash,Mobile App,West,Regular,3.3,1.0
TXN-100143,CUST-1626,2024-11-27,Home & Kitchen,Cookware Set,1,147.97,,110.98,Debit Card,In-Store,South,VIP,4.7,0.0
TXN-104943,CUST-3756,2023-05-05,Home & Kitchen,Desk Lamp,5,35.11,0.09,159.75,PayPal,In-Store,North,VIP,3.5,0.0
TXN-104190,CUST-2168,2023-04-27,Beauty & Personal Care,Electric Toothbrush,8 units,50.6,0.25,303.6,Cash,Mobile App,North,New,2.0,0.0
TXN-106120,CUST-4773,11-05-2023,Electronics,Tablet,1,$345.9,0.02,338.98,Bank Transfer,Online,Central,Regular,3.8,1.0
TXN-100227,CUST-4378,2024-05-29,Automotive,Tire Inflator,9,48.14,0.12,381.27,Cash,Online,East,VIP,4.3,0.0
TXN-102422,CUST-2832,2023-08-18,Automotive,Car Vacuum,9,42.58,0.03,371.72,Cash,,South,New,1.8,
TXN-102906,CUST-3781,2022-09-19,Electronics,Mechanical Keyboard,3,126.23,0.21,299.17,Cash,Mobile App,East,New,4.0,0.0
TXN-102711,CUST-2482,2022-08-10,Beauty & Personal Care,Beard Trimmer,2,44.0,0.14,75.68,Credit Card,Online,South,Regular,3.5,0.0
TXN-102080,CUST-3048,2022-11-18,Books,Python for Data Science,2,43.76,0.25,65.64,Credit Card,Online,Central,VIP,1.0,0.0
TXN-106942,CUST-2129,2023-10-21,Toys & Games,Drone Mini,1,84.31,0.15,71.66,Debit Card,In-Store,West,VIP,4.9,1.0
TXN-109260,CUST-3949,2022-09-27,Sports & Outdoors,Tennis Racket,4,72.1,0.18,236.49,Debit Card,In-Store,East,Regular,2.6,0.0
TXN-103381,CUST-1725,2024-03-12,Home & Kitchen,Air Fryer,6,108.26,0.25,487.17,PayPal,In-Store,West,Regular,3.5,0.0
TXN-107116,CUST-4227,2023-01-29,Electronics,Smart Watch,9,237.83,0.3,1498.33,Credit Card,Mobile App,South,New,3.8,1.0
TXN-106555,CUST-2420,2022-08-26,Electronics,Webcam,4,97.53,0.0,390.12,Debit Card,Online,North,Regular,4.9,0.0
TXN-105150,CUST-4674,2023-10-19,Books,Statistics 101,5,26.8,0.1,120.6,Cash,Mobile App,West,VIP,2.0,0.0
TXN-107398,CUST-1501,2022-02-28,Toys & Games,Play-Doh Kit,9,20.77,0.0,186.93,Cash,In-Store,West,Regular,3.1,0.0
TXN-107792,CUST-2271,2022-01-23,Beauty & Personal Care,Body Lotion,7,18.82,0.08,121.2,Bank Transfer,Mobile App,West,Premium,1.8,0.0
TXN-105609,CUST-3444,2022-06-07,Clothing,Winter Jacket,5,118.3,0.1,532.35,Debit Card,In-Store,,Premium,2.5,0.0
TXN-101066,CUST-1482,2024-06-19,Toys & Games,Drone Mini,8,98.86,0.19,640.61,Debit Card,Mobile App,Central,VIP,2.3,0.0
TXN-106183,CUST-3228,2024-10-13,Clothing,Sunglasses,1,31.73,0.09,28.87,PayPal,In-Store,West,VIP,3.0,0.0
TXN-108724,CUST-4611,2022-01-14,Books,Deep Work,5,16.89,0.02,82.76,Debit Card,In-Store,Central,New,1.8,0.0
TXN-105365,CUST-4999,2022-01-08,Beauty & Personal Care,Face Cream,5,32.05,0.04,153.84,Bank Transfer,Mobile App,West,VIP,2.8,0.0
TXN-102456,CUST-4408,2024-05-16,Automotive,Steering Wheel Cover,2,23.01,0.13,40.04,Credit Card,In-Store,East,Regular,1.7,0.0
TXN-103906,CUST-4860,2023-09-01,Beauty & Personal Care,Body Lotion,6,18.97,0.12,100.16,Cash,In-Store,North,New,2.2,1.0
TXN-100110,CUST-2438,2023-12-17,Clothing,Backpack,9,56.46,0.15,431.92,Cash,In-Store,North,Premium,2.0,0.0
TXN-100912,CUST-4901,2024-03-05,Toys & Games,ERROR,1,24.29,0.24,18.46,Debit Card,Mobile App,West,New,3.3,1.0
TXN-108899,CUST-4077,24/04/2024,Beauty & Personal Care,Sunscreen SPF50,9 units,19.67,,123.92,Credit Card,In-Store,South,VIP,,0.0
TXN-109150,CUST-3028,2023-04-20,Automotive,Car Floor Mats,8,36.28,0.01,287.34,Cash,Mobile App,East,Premium,2.0,0.0
TXN-108242,CUST-4339,2022-02-05,Toys & Games,Remote Control Car,8,45.61,0.22,284.61,Debit Card,In-Store,West,New,4.6,0.0
TXN-108292,CUST-3367,2023-06-23,Home & Kitchen,Cookware Set,1pcs,142.66,0.23,109.85,,Mobile App,,New,4.8,0.0
TXN-101114,CUST-3566,2022-01-22,Beauty & Personal Care,Hair Dryer,8,42.52,0.08,312.95,PayPal,In-Store,West,Premium,3.7,0.0
TXN-101516,CUST-1025,2024-02-04,Toys & Games,Board Game Pack,9,34.22,0.28,221.75,N/A,In-Store,North,VIP,4.8,0.0
TXN-101574,CUST-1559,2023-07-20,Home & Kitchen,Coffee Maker,4,74.94,0.0,299.76,Cash,Online,Central,Regular,2.1,
TXN-102454,CUST-2660,2023-05-20,Beauty & Personal Care,Body Lotion,2,17.1,0.14,29.41,Credit Card,In-Store,North,New,4.2,0.0
TXN-108165,CUST-2051,2022-04-05,Sports & Outdoors,Protein Powder,6,52.08,0.11,278.11,Credit Card,Mobile App,Central,VIP,2.4,0.0
TXN-101457,CUST-2818,2022-05-13,Toys & Games,Lego Creator Set,9,76.24,0.09,624.41,Credit Card,In-Store,Central,VIP,1.4,0.0
TXN-109987,CUST-2909,2022-09-06,Toys & Games,Board Game Pack,1,35.17,0.08,32.36,Bank Transfer,Online,North,VIP,2.5,0.0
TXN-102339,CUST-3726,2024-12-26,Beauty & Personal Care,Shampoo Set,2,27.11,,45.54,Debit Card,In-Store,South,New,4.7,0.0
TXN-102830,CUST-1131,2023-04-11,Beauty & Personal Care,Hair Dryer,2,37.15,0.21,58.7,Cash,Online,South,New,,0.0
TXN-107756,CUST-2230,2023-05-17,Books,Deep Work,1,16.8,0.08,15.46,Debit Card,In-Store,West,Premium,1.1,0.0
TXN-101932,CUST-2621,2024-07-31,Sports & Outdoors,Tennis Racket,10,75.32,0.15,640.22,Bank Transfer,In-Store,East,New,6.0,0.0
TXN-107985,CUST-2113,2023-04-17,Sports & Outdoors,Water Bottle,6,23.98,0.18,117.98,Bank Transfer,Online,West,New,4.1,0.0
TXN-108472,CUST-4210,2024-07-31,Books,SQL Mastery,2,35.77,0.12,62.96,Debit Card,Online,Central,Regular,1.6,0.0
TXN-108694,CUST-4651,2023-06-20,Sports & Outdoors,Dumbbells Set,2,94.45,0.27,137.9,,Online,West,VIP,4.8,0.0
TXN-102720,CUST-2377,2023-05-31,Home & Kitchen,Vacuum Cleaner,1,181.0,0.3,126.7,Debit Card,In-Store,Central,Premium,3.0,0.0
TXN-101867,CUST-1646,2023-08-21,Toys & Games,Action Figure Set,3,30.65,0.12,80.92,Credit Card,In-Store,Central,Premium,4.9,0.0
TXN-105097,CUST-2966,2023-04-12,Clothing,Running Shoes,3,94.1,0.27,206.08,Credit Card,In-Store,West,Regular,2.5,0.0
TXN-103121,CUST-2414,2024-09-26,Toys & Games,Action Figure Set,6,29.09,0.25,130.91,Debit Card,Mobile App,,Premium,4.5,1.0
TXN-103509,CUST-3701,2024-02-22,Clothing,Dress Shirt,1,37.19,0.13,32.36,Bank Transfer,In-Store,West,Regular,1.2,1.0
TXN-104146,CUST-3820,2023-09-06,Automotive,Car Floor Mats,9,33.99,0.01,302.85,PayPal,Online,North,New,1.9,0.0
TXN-100738,CUST-2542,2022-10-30,Electronics,Bluetooth Speaker,10,83.6,0.03,810.92,PayPal,Mobile App,South,Regular,1.4,0.0
TXN-108555,CUST-3509,2022-07-26,Sports & Outdoors,Cycling Helmet,2,63.4,0.11,112.85,Cash,Mobile App,North,Premium,2.7,0.0
TXN-106896,CUST-2052,2023-08-24,Home & Kitchen,Cookware Set,9,142.67,0.04,1232.67,Cash,Mobile App,North,,1.5,0.0
